Date,Time,Service Category,Technician,Ad Spend,Conversions,Revenue,Client Type
2024-11-14,Morning,Well,Willie,82.56,8,442.24,Loyal
2025-03-31,Evening,Age,Carly,61.71,8,107.26,Loyal
2025-01-14,Evening,Explain,Amy,129.34,10,364.71,New
2025-02-01,Afternoon,Medical,Amy,76.7,3,142.13,New
2024-12-11,Night,A,Larry,122.99,3,354.79,New
2024-11-23,Evening,Expect,Paul,148.59,6,226.35,Returning
2025-01-06,Night,Music,Gloria,73.96,1,96.84,New
2025-03-13,Afternoon,Where,Robert,133.16,7,199.67,Loyal
2025-04-16,Evening,Again,Grace,55.96,10,241.06,Loyal
2025-04-25,Evening,Onto,David,52.5,8,142.21,Returning
2025-03-05,Afternoon,Girl,Phillip,113.53,6,160.91,Loyal
2025-04-19,Morning,These,Audrey,129.78,7,43.27,Loyal
2025-03-13,Morning,Pressure,Daniel,52.45,4,463.78,Returning
2025-02-15,Morning,Yeah,Zachary,115.75,0,359.93,New
2025-01-04,Night,Hotel,Ryan,61.84,6,435.59,New
2025-03-27,Afternoon,Painting,Kristina,57.29,6,429.49,Returning
2025-02-18,Morning,You,Kristin,60.24,3,251.07,Returning
2025-04-19,Afternoon,Wrong,Heather,66.5,7,426.12,New
2024-12-13,Evening,Those,Jeremy,77.14,0,492.17,Returning
2025-03-02,Night,Cut,Melissa,15.06,5,350.56,Loyal
2025-04-20,Night,Type,Jennifer,85.09,5,238.12,Returning
2024-12-27,Morning,Democrat,Lynn,103.84,1,312.56,Loyal
2025-01-09,Night,Line,Anita,148.31,7,74.29,Loyal
2024-11-16,Night,Front,Michael,41.11,4,178.11,Loyal
2025-04-24,Night,Campaign,Leslie,28.55,7,399.17,Loyal
2025-04-24,Evening,Unit,Duane,86.64,1,388.4,Returning
2024-11-13,Morning,One,Janice,49.69,4,139.92,New
2024-11-13,Afternoon,Many,Christopher,53.24,10,481.21,Returning
2025-03-29,Afternoon,Second,Samantha,77.42,5,412.71,New
2025-02-03,Evening,Music,Barbara,58.7,9,420.54,Loyal
2025-01-10,Night,High,Daniel,32.16,2,342.27,New
2024-11-12,Night,Would,Brendan,31.82,7,182.08,Loyal
2025-04-05,Night,On,Richard,102.78,5,296.31,Loyal
2025-04-28,Afternoon,Plant,Debbie,41.44,8,301.04,Returning
2024-11-19,Night,Myself,Dawn,117.18,4,245.25,Returning
2025-03-10,Afternoon,Buy,Daniel,63.93,3,117.89,Loyal
2025-04-06,Morning,Student,William,129.62,1,267.74,Returning
2025-03-08,Night,North,Kirsten,131.69,5,198.2,New
2025-01-04,Evening,Third,Angela,88.2,3,148.8,Returning
2025-03-28,Afternoon,Building,Janice,69.66,0,454.42,Returning
2025-03-03,Night,Ten,Jamie,44.05,1,426.43,Returning
2025-04-11,Afternoon,Official,Timothy,131.67,3,370.79,New
2025-02-17,Afternoon,Rule,William,105.91,2,214.65,Returning
2025-04-14,Afternoon,Budget,Monica,131.03,9,244.29,New
2024-12-27,Afternoon,Writer,Keith,139.71,0,222.53,Loyal
2025-04-11,Evening,Analysis,Vanessa,9.33,3,397.02,New
2025-04-01,Afternoon,Per,Victoria,112.44,4,42.54,New
2024-11-23,Night,Order,Andrew,128.95,8,210.53,Loyal
2025-03-09,Evening,Different,Jennifer,124.27,8,398.58,Returning
2025-01-22,Evening,Usually,Kristin,21.26,3,55.69,Loyal
2025-01-04,Night,Expect,Joe,141.06,1,154.59,Returning
2025-03-13,Afternoon,Only,Patrick,81.68,4,419.5,Returning
2025-04-03,Morning,Open,Amanda,59.11,5,214.49,Loyal
2025-03-10,Night,How,Amy,37.34,3,258.83,Returning
2025-02-23,Evening,Matter,Christina,105.48,1,116.41,Loyal
2024-12-22,Evening,Cost,Eric,97.85,8,323.79,Loyal
2024-12-28,Morning,Quite,Steven,108.59,9,490.22,Loyal
2024-11-17,Night,Interesting,Jennifer,108.51,8,305.77,New
2025-03-17,Morning,Difference,Sheri,83.46,10,72.07,Returning
2025-03-16,Afternoon,Hair,Kimberly,11.48,5,29.72,Returning
2025-04-08,Night,Sure,Colleen,102.24,0,361.56,New
